ITEM,VALUE,TYPE,CATEGORY,CREATED_AT
Soda Lemon,10000,0,0,2011-09-14 15:03:05
Menghadiri Festival Budaya,50000,2,0,2015-05-25 10:32:20
Pindang Patin,25000,0,0,2014-05-13 11:25:59
Kereta Api,20000,1,0,2015-04-11 01:27:09
Kopi Tubruk,10000,0,0,2015-05-03 04:27:33
Beli Obat,100000,3,0,2007-05-07 13:37:42
Sayur Lodeh,15000,0,0,2015-11-08 02:20:04
Sate Padang,25000,0,0,2023-08-30 01:46:17
Pepes Tahu,15000,0,0,2010-11-16 12:29:31
MRT,15000,1,0,2019-10-09 17:56:46
Ojek,15000,1,0,2001-05-27 14:05:01
Soto Betawi,25000,0,0,2012-06-17 04:04:22
Sambal Goreng,15000,0,0,2012-06-06 14:46:29
Ayam Betutu,30000,0,0,2014-06-26 03:23:10
Asinan Betawi,15000,0,0,2000-07-31 06:52:13
Jus Nanas,15000,0,0,2014-03-26 07:47:27
Martabak,30000,0,0,2013-02-08 08:10:09
Bebek Goreng,30000,0,0,2008-10-25 05:52:55
Jus Tomat,8000,0,0,2000-09-25 16:02:45
Sate Ayam,25000,0,0,2004-03-09 06:11:38
Kopi Hitam,10000,0,0,2021-12-06 16:26:58
Jus Stroberi,15000,0,0,2020-03-25 14:25:54
Susu Jahe,8000,0,0,2009-01-09 11:25:42
Es Pepaya,10000,0,0,2000-04-27 21:11:02
Mengunjungi Museum,25000,2,0,2023-07-15 00:34:41
Es Pala,8000,0,0,2021-05-26 11:43:09
Tahu Sumedang,10000,0,0,2022-06-23 11:18:09
Tongseng,30000,0,0,2008-09-22 14:51:17
Tempe Mendoan,15000,0,0,2009-11-18 17:50:59
Jus Melon,15000,0,0,2011-03-10 06:53:34
Beli Obat,100000,3,0,2010-01-04 17:32:28
Sop Kaki Kambing,35000,0,0,2020-09-22 18:27:22
Nasi Brongkos,20000,0,0,2000-07-21 14:42:31
Es Leci,10000,0,0,2021-06-06 20:57:56
Jus Tomat,8000,0,0,2002-03-09 03:31:12
Soto Lamongan,20000,0,0,2007-07-28 15:37:58
Beli Obat,100000,3,0,2019-06-12 22:00:51
Mengunjungi Kebun Binatang,50000,2,0,2003-03-19 11:39:30
Sop Buntut,40000,0,0,2005-01-15 20:29:43
Rendang,30000,0,0,2019-11-05 19:15:38
Es Kopi Susu,12000,0,0,2007-12-25 13:13:16
Coto Makassar,25000,0,0,2020-06-12 07:08:43
Nasi Kuning,15000,0,0,2021-08-09 03:23:47
Jus Pepaya,15000,0,0,2018-11-11 06:02:55
Nasi Brongkos,20000,0,0,2009-11-02 16:52:23
Gulai Ikan,25000,0,0,2002-12-07 18:25:48
