ITEM,VALUE,TYPE,CATEGORY,CREATED_AT
Jus Melon,15000,0,0,2022-10-21 14:10:41
Soto Ayam,18000,0,0,2023-01-23 16:36:31
Mie Goreng,18000,0,0,2022-10-20 07:18:22
Susu Jahe,8000,0,0,2023-08-05 04:50:27
Jus Markisa,15000,0,0,2024-07-17 19:08:17
Teh Manis,5000,0,0,2024-06-07 13:04:00
Es Timun,8000,0,0,2023-01-17 06:04:56
LRT,15000,1,0,2024-06-18 10:08:42
Jus Jambu,15000,0,0,2022-10-24 13:09:40
Angkot,5000,1,0,2022-08-24 05:28:40
Teh Rosella,7000,0,0,2024-03-15 20:03:55
Jus Belimbing,15000,0,0,2024-03-20 19:27:14
Ayam Taliwang,30000,0,0,2024-06-28 22:33:07
Nasi Uduk,15000,0,0,2023-02-14 23:49:23
Es Cincau,7000,0,0,2024-03-20 02:58:58
Teh Oolong,8000,0,0,2024-09-04 08:51:21
Pepes Tahu,15000,0,0,2023-10-24 00:45:20
Es Buah,15000,0,0,2024-03-25 14:05:07
Es Kacang Merah,10000,0,0,2023-01-10 02:38:52
Kopi Tubruk,10000,0,0,2024-01-09 02:24:14
Mie Goreng,18000,0,0,2024-03-31 14:45:17
Becak,10000,1,0,2024-05-28 02:00:30
Teh Jahe,7000,0,0,2023-06-25 23:30:07
Bakso Malang,20000,0,0,2023-12-11 03:47:22
Nasi Pecel,15000,0,0,2023-10-11 22:46:11
Teh Sereh,7000,0,0,2023-09-15 01:00:05
Bubur Ayam,15000,0,0,2024-05-19 19:08:23
Jus Jambu,15000,0,0,2024-01-28 07:14:32
Es Terong Belanda,10000,0,0,2023-12-30 19:53:15
Bakmi Jawa,20000,0,0,2024-01-21 20:26:57
Sate Kambing,35000,0,0,2023-11-06 02:33:16
Es Blewah,8000,0,0,2023-10-21 18:45:17
Es Apel,8000,0,0,2023-01-27 08:06:02
Ayam Bakar,25000,0,0,2023-08-16 09:19:11
Air Putih,3000,0,0,2023-08-12 23:57:01
Teh Oolong,8000,0,0,2023-11-04 23:02:31
Es Doger,12000,0,0,2023-10-21 05:28:51
Rujak Cingur,20000,0,0,2022-08-13 04:59:53
Sayur Lodeh,15000,0,0,2022-09-14 03:58:53
Rendang,30000,0,0,2024-09-03 19:19:29
Kopi Toraja,15000,0,0,2023-09-22 05:35:55
Tahu Sumedang,10000,0,0,2023-12-24 23:57:01
Pindang Patin,25000,0,0,2023-04-01 02:36:15
Teh Putih,9000,0,0,2023-08-04 15:56:23
Kopi Susu,12000,0,0,2024-01-01 07:15:54
Es Krim,10000,0,0,2024-08-28 09:21:05
Tahu Sumedang,10000,0,0,2022-08-08 23:04:47
Kereta Api,20000,1,0,2024-04-24 09:30:01
Bajaj,20000,1,0,2024-07-08 20:01:24
Susu Kambing,15000,0,0,2023-11-10 03:16:27
Soto Madura,25000,0,0,2022-12-10 06:25:17
Udang Balado,35000,0,0,2022-12-08 04:39:26
Es Terong Belanda,10000,0,0,2023-01-18 06:46:36
Teh Jahe,7000,0,0,2022-09-28 14:46:06
Jus Jambu,15000,0,0,2023-01-14 23:54:20
Ayam Penyet,20000,0,0,2022-10-13 06:34:26
Taksi,50000,1,0,2022-12-25 12:09:22
Karedok,15000,0,0,2023-11-21 08:19:30
Jus Wortel,8000,0,0,2024-07-16 17:47:22
Soda Gembira,10000,0,0,2023-01-29 02:11:06
Ikan Asin,10000,0,0,2022-12-07 19:02:21
Sate Madura,25000,0,0,2024-02-02 01:05:28
Wedang Jahe,8000,0,0,2022-10-20 06:57:06
Nasi Campur,25000,0,0,2023-01-26 13:39:46
Es Teler,15000,0,0,2022-12-01 13:46:25
Nasi Brongkos,20000,0,0,2023-02-07 15:10:20
Rendang,30000,0,0,2024-07-25 16:58:55
Es Kopi,12000,0,0,2024-06-10 20:40:29
Susu Kambing,15000,0,0,2023-12-10 11:34:35
Soto Mie,20000,0,0,2023-07-25 22:30:41
Es Pepaya,10000,0,0,2024-07-09 15:26:32
Mie Kocok,20000,0,0,2024-02-19 07:47:02
Ikan Asin,10000,0,0,2023-07-23 15:48:52
Nasi Uduk,15000,0,0,2023-06-08 15:48:07
Jus Buah Naga,15000,0,0,2023-03-15 17:46:19
Es Selasih,10000,0,0,2023-05-05 09:20:49
Becak,10000,1,0,2022-12-31 07:12:53
Becak,10000,1,0,2023-07-18 10:09:22
Es Timun Suri,8000,0,0,2023-02-11 13:01:41
Sop Kambing,30000,0,0,2024-06-14 12:09:13
Es Susu Coklat,8000,0,0,2023-11-09 12:47:38
Bandeng Presto,25000,0,0,2024-07-03 16:36:36
Becak,10000,1,0,2023-04-19 06:25:56
Es Mangga,8000,0,0,2022-08-05 22:16:06
