ITEM,VALUE,TYPE,CATEGORY,CREATED_AT
Nasi Gudeg,20000,0,0,2022-11-11 18:30:40
Nasi Uduk,15000,0,0,2019-06-03 03:18:26
Jus Semangka,15000,0,0,2022-06-15 15:10:36
Bajigur,8000,0,0,2023-05-26 05:09:14
Pecel Lele,20000,0,0,2023-11-28 14:18:33
Susu Sapi,8000,0,0,2019-03-04 05:32:55
Ikan Pepes,25000,0,0,2023-04-24 17:37:57
Es Cendol,7000,0,0,2022-08-28 20:00:51
Nasi Bebek,25000,0,0,2019-10-11 02:37:25
Ayam Taliwang,30000,0,0,2021-06-23 00:42:24
Es Susu Coklat,8000,0,0,2019-01-16 12:45:08
Es Krim,10000,0,0,2022-01-13 20:12:38
Es Semangka,8000,0,0,2022-04-17 20:34:47
Beli Obat,100000,3,0,2019-05-18 07:19:42
Sate Sapi,30000,0,0,2019-05-04 02:42:04
Teh Melati,7000,0,0,2019-05-08 23:30:56
Es Timun,8000,0,0,2023-04-11 03:33:29
Es Melon,8000,0,0,2019-05-15 11:15:05
MRT,15000,1,0,2020-09-21 23:22:04
Bandrek,8000,0,0,2022-06-16 06:54:27
Ikan Bakar,30000,0,0,2021-02-06 03:39:11
Kereta Api,20000,1,0,2019-01-19 15:11:16
Soda Jeruk,10000,0,0,2020-07-08 03:37:27
Teh Merah,7000,0,0,2023-11-19 12:23:01
Nasi Lemak,20000,0,0,2019-11-24 19:25:04
Ayam Bakar,25000,0,0,2020-12-14 23:23:43
Air Kelapa,10000,0,0,2019-06-10 04:05:06
Soda Gembira,10000,0,0,2020-03-29 00:41:14
Serabi,10000,0,0,2023-08-21 21:06:36
Bir Pletok,12000,0,0,2020-04-22 23:37:02
Teh Rosella,7000,0,0,2021-03-26 01:35:20
Mengikuti Kegiatan Komunitas,20000,2,0,2019-01-15 11:57:12
Es Selasih,10000,0,0,2019-04-20 19:14:01
Ayam Goreng,25000,0,0,2022-03-23 19:23:48
Tahu Gejrot,10000,0,0,2021-09-03 09:52:31
Es Blewah,8000,0,0,2023-05-03 03:50:15
Es Doger,12000,0,0,2022-05-23 13:05:45
Kopi Hitam,10000,0,0,2022-06-16 06:20:50
Nasi Lemak,20000,0,0,2020-01-30 20:20:50
Es Mangga Muda,10000,0,0,2023-06-14 00:40:36
Air Putih,3000,0,0,2021-03-31 10:11:43
Becak,10000,1,0,2022-03-06 05:03:10
Bajaj,20000,1,0,2019-11-20 21:42:02
LRT,15000,1,0,2021-05-01 08:49:58
Bajaj,20000,1,0,2020-08-11 13:13:47
Es Cincau,7000,0,0,2021-12-25 21:03:19
Es Doger,12000,0,0,2020-12-01 19:08:00
Bandeng Presto,25000,0,0,2023-10-27 20:19:05
Empal Gentong,30000,0,0,2019-01-23 23:40:01
Es Timun,8000,0,0,2019-12-27 21:35:50
Soto Lamongan,20000,0,0,2023-12-17 20:25:02
Sop Ayam,20000,0,0,2023-03-14 09:38:35
Gaji,10000000,10,1,2019-07-28 09:17:07
MRT,15000,1,0,2021-06-03 17:44:45
Becak,10000,1,0,2022-02-09 08:29:41
Air Lemon,7000,0,0,2021-06-07 01:55:41
Es Teler,15000,0,0,2022-03-09 02:01:49
Becak,10000,1,0,2020-10-02 17:03:42
Jus Semangka,15000,0,0,2020-01-07 09:54:14
Air Kelapa,10000,0,0,2020-03-13 05:12:13
Ayam Betutu,30000,0,0,2019-12-05 07:41:23
Nasi Bebek,25000,0,0,2019-01-18 17:57:17
Soto Bandung,25000,0,0,2023-11-07 23:14:00
Nasi Goreng Kambing,25000,0,0,2019-03-30 20:45:06
Air Jahe,7000,0,0,2021-04-04 11:38:37
Tahu Gejrot,10000,0,0,2022-04-28 09:39:05
Air Tebu,5000,0,0,2021-08-05 21:51:48
Es Kopi Susu,12000,0,0,2020-03-11 21:42:28
Nasi Rawon,25000,0,0,2019-03-21 01:22:46
Bajaj,20000,1,0,2021-04-19 04:00:04
Becak,10000,1,0,2021-08-25 02:19:44
Becak,10000,1,0,2019-12-25 15:05:32
Lontong Sayur,15000,0,0,2021-01-19 12:26:32
Sop Iga,35000,0,0,2020-08-03 14:23:34
Nasi Lemak,20000,0,0,2022-04-08 18:35:32
Opor Ayam,20000,0,0,2023-04-17 03:44:57
Taksi,50000,1,0,2022-09-18 09:34:08
Rujak Manis,15000,0,0,2023-04-23 14:18:17
Teh Putih,9000,0,0,2019-08-28 16:01:26
Taksi,50000,1,0,2023-08-30 11:53:52
Sate Maranggi,30000,0,0,2021-01-23 17:50:43
LRT,15000,1,0,2023-10-11 10:26:43
Bebek Goreng,30000,0,0,2021-02-08 10:02:10
Bandeng Presto,25000,0,0,2021-08-13 13:38:10
Nasi Gudeg,20000,0,0,2020-02-15 04:24:09
Sop Iga,35000,0,0,2019-02-08 02:27:39
Martabak,30000,0,0,2019-04-02 04:08:32
Nasi Campur,25000,0,0,2019-09-15 19:57:52
Es Teler,15000,0,0,2022-08-05 02:13:04
Nasi Goreng,20000,0,0,2020-01-27 17:30:58
Gulai Kambing,35000,0,0,2019-02-28 14:50:44
Nasi Kebuli,30000,0,0,2021-02-25 09:00:50
Es Pepaya,10000,0,0,2022-01-19 15:19:55
Gudeg,20000,0,0,2020-07-05 05:57:01
Bermain di Waterpark,100000,2,0,2019-11-07 10:00:13
Es Semangka,8000,0,0,2022-11-01 03:07:13
Martabak,30000,0,0,2023-08-28 12:53:51
Soda Susu,10000,0,0,2020-02-06 18:09:52
Kwetiau Goreng,20000,0,0,2021-02-09 13:59:41
Soda Gembira,10000,0,0,2023-07-23 06:49:29
Taksi,50000,1,0,2023-03-04 13:55:56
Gado-Gado,15000,0,0,2021-11-22 19:07:52
Mendaki Gunung,75000,2,0,2020-01-28 13:32:26
Nasi Goreng,20000,0,0,2019-04-22 17:59:31
Sate Sapi,30000,0,0,2020-08-25 04:07:57
Es Blewah,8000,0,0,2023-08-20 15:56:42
Gulai Kambing,35000,0,0,2019-06-05 16:21:21
Soto Madura,25000,0,0,2023-01-31 21:06:36
Bubur Ayam,15000,0,0,2021-09-15 21:48:45
Es Susu Coklat,8000,0,0,2022-10-28 09:19:54
Wedang Jahe,8000,0,0,2020-09-27 03:44:02
Bajigur,8000,0,0,2023-09-03 02:26:41
